position,title,link,product_link,product_id,serpapi_product_api,source,price,extracted_price,rating,reviews,thumbnail,delivery,extensions,badge,tag,store_rating,store_reviews,number_of_comparisons,comparison_link,serpapi_product_api_comparisons,old_price,extracted_old_price,second_hand_condition,Query_List,Query,Proxy_rating,Proxy_reviews,Discount,Promo_1,Promo_2,Proxy_store,Proxy_seller_1,Proxy_seller_2,Proxy_seller_3,Proxy_seller_4,Proxy_seller_5,Proxy_seller_6,Proxy_seller_7
48,Gap Women's 2-Pack Classic Logo Tee T-Shirt,https://www.amazon.com/GAP-Womens-Classic-Logo-Tee/dp/B09R3YBD82?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/453505112225907636?gl=us,453505112225907636,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=453505112225907636,Amazon.com,,20.8,5.0,2.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS67gI_Bf0Ha0z4qgD1rR6PPK8Eiohz74AAIt1CU6znmDfyfoP65KSKfwor9lTjdXvmnpuGT19p0O5W6NavXZBOEBNVEVSHIO2aw3qd-JPrRIXGwSIQ2WGf&usqp=CAE,$5.99 delivery,"['$3.79 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.5,2500.0,,,,,,,gap_q,gap tshirts,5.0,2.0,0.0,1,0,1,0,0,0,0,1,0,0
49,Gap Basic Navy T-Shirt,https://www.kidizen.com/items/4390795,https://www.google.com/shopping/product/13218920715579954947?gl=us,13218920715579954947,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=13218920715579954947,Kidizen,,8.5,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR-xL5YkPebSz4aQRx5KvXyIVu6LLFCwFg6zo9mGY8CdZubRIAyMXGlvvBHFVEoZUrwDAye9ochW4h5hxBIO-VRgAiDkaeEuivRgBNw7hYusJ0S2xRxv_b6Gg&usqp=CAE,Free delivery,,,,,,,,,,,used,gap_q,gap tshirts,4.677777777777778,128.59259259259258,0.0,0,0,0,0,0,0,0,0,0,0
50,"Gap 100% Organic Cotton ""gap For Good"" Logo Pocket T-shirt Msrp $34.95",https://www.ebay.com/itm/155397803079?chn=ps&mkevt=1&mkcid=28&srsltid=AfmBOor9-Sd6Sp1j6pCx7-Ew8ajvsWh0GhXCYe0ZV1EP4bFB_NcBoKGXYZA&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/1?gl=us&prds=pid:17607391669622880573,17607391669622880573,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17607391669622880573,eBay - emarge,,25.95,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQPDZOSjqCk0JHuG4A6HTzWUr2NhQr5_ic_Okm-yElShKq5VNaZ9jSjepF5cryBfpMka7C9hZx5BIYKFPPElUJ0L-49UVYEl5q04skRSXpM&usqp=CAE,"Delivery by Fri, Oct 13",,,,,,,,,,,,gap_q,gap tshirts,4.677777777777778,128.59259259259258,0.0,0,0,0,0,0,0,0,0,1,0
51,Gap Men's T-Shirt - Multi - M,https://www.depop.com/products/thad25-cream-coke-shirt-from-gap/?srsltid=AfmBOoqrgmQ-TcgvcBU0tD8EXr6wp0P7kYkpK_MH5Z9AYmAvr8goYBKjb5A,https://www.google.com/shopping/product/15404060830679937105?gl=us,15404060830679937105,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=15404060830679937105,Depop,,7.5,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTZRXPIAMAEuTCd4_6SGdnM-nu5EzOMdaqXf6uvYXTne7pWmMQ0spsp3nCumLOY22dU86YOq6lmbAEpnPSdp3vGlm9ZwLb7NpTDRzFYYqCA&usqp=CAE,$6.19 delivery,['SALE'],,SALE,,,,,,,15.0,used,gap_q,gap tshirts,4.677777777777778,128.59259259259258,-7.5,0,1,0,0,0,0,0,0,0,0
52,Gap 100% Organic Cotton Vintage Eyelet Puff Sleeve T-Shirt Rose Crystal Pink,https://modesens.com/product/gap-100-organic-cotton-vintage-eyelet-puff-sleeve-t-shirt-rose-crystal-pink-68878590/?country=us&language=en&refinfo=gSH_ggfGapfc-ApAcClShTo68878590&srsltid=AfmBOopaz_dwczVnankqUA-sWFItV0IXvxckDJVcjuiS504UhiZ2HHSAMSg,https://www.google.com/shopping/product/11425519436988622321?gl=us,11425519436988622321,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11425519436988622321,ModeSens,,30.0,4.3,48.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTNUnoJzz0cxgexrVEoyVO9Yi7qAhcmxWwdpCDeV71U6qnuLiHrW2kUrO__brGGiTK1nsKf-ZNB6qp_UFEUdY0YrHbbmV4Mm9XtFDXedNGn8cLuuUwa9lZ5Sw&usqp=CAE,$7.00 delivery,['SALE'],,SALE,,,,,,,40.0,,gap_q,gap tshirts,4.3,48.0,-10.0,0,1,0,0,0,0,0,0,0,0
53,Gap Tops | Lot of 2 Gap Women’s Foreversoft Tee T Shirts - XL - Pink & Sage Green ...,https://poshmark.com/listing/Lot-Of-2-Gap-Womens-ForeverSoft-Tee-T-Shirts--XL--Pink--Sage-Green--VGUC-64ecdb8b382db8507d59471f?srsltid=AfmBOor4HeTu1ouUMVEDnbwtlZD0uIWA_YbiLQerMipSSiYOWNaiteF4K_A#utm_source=gdm_unpaid,https://www.google.com/shopping/product/14384513999979843756?gl=us,14384513999979843756,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=14384513999979843756,Poshmark,,23.0,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRDMXT2RnG1UA1Wi-iBEbewBePudHyOHCBBJbTHVvtc5etANBszIwuWDI2Tt5GzuTQ1YAxN8pLD4_84jl8WMWTiZCdAEs59JeWDz-Ht8nA&usqp=CAE,"Delivery by Fri, Oct 6",['SALE'],,SALE,,,,,,,26.0,used,gap_q,gap tshirts,4.677777777777778,128.59259259259258,-3.0,0,1,0,0,0,0,0,0,0,0
54,Gap Logo Gray Men's Tee Shirt Pull Over Crew Neck Size Large,https://www.ebay.com/itm/304973531052?chn=ps&mkevt=1&mkcid=28&srsltid=AfmBOopAJ0E1dro_EVn-yDd1_W5JGXSksJYv5BwGB4TqUxyt9fu4RLvuySc&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/1?gl=us&prds=pid:8330655275246776658,8330655275246776658,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=8330655275246776658,eBay - elizus0,,15.47,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ6EZhuOYR5gwx32HNeejNHx5PFxmOX4MTPPAqqx8IndzYQsduKfbJIOkxrrGrBNgx8m5nhUrdJEdMU5-5-ZJgNwlz90SBPDWrOPuWxzu3YkjCb8jr2gtLHdw&usqp=CAE,"Delivery by Mon, Oct 9",,,,,,,,,,,,gap_q,gap tshirts,4.677777777777778,128.59259259259258,0.0,0,0,0,0,0,0,0,0,1,0
55,Gap Boys' 2-Pack Short Sleeve Logo Tee T-Shirt,https://www.amazon.com/GAP-Boys-Short-Sleeve-T-Shirt/dp/B09R32XXLN?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/8446591791478308988?gl=us,8446591791478308988,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=8446591791478308988,Amazon.com,,23.7,5.0,1.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR36nPqttfcen658f2QJydFs74cyvFRcOjl-qmyrPsM4M46Qg8ChPlOMXogfXi1y2YyBH0A5hhJlAt-quU1yxtWVyngj-psiOGfPpvoXknXaM9UYiySFGUDPQ&usqp=CAE,$5.99 delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap tshirts,5.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0
56,Gap Tops | Nwt Gap Women San Francisco Graphic Logo Heather Grey Burn-Out Tee ...,https://poshmark.com/listing/NWT-GAP-Women-SAN-FRANCISCO-Graphic-LOGO-Heather-Grey-BurnOut-Tee-62867435f3fd6668d9c219a6?srsltid=AfmBOoo6C6LNUJHFBjuuEhPACneSCZLNVDnHL3J1qpi4LAyacmcSowCkL_M#utm_source=gdm_unpaid,https://www.google.com/shopping/product/864543636399346835?gl=us,864543636399346835,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=864543636399346835,Poshmark,,10.0,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRVfYQEubzISGt5symwnvo0ndvInwdXMWI6jEKqnosiYTRFu0bhMoQKoSUbcxWFriXFPQN915380aEy1rkiLQfvi8KUucxx0teRVSYYrMM&usqp=CAE,"Delivery by Fri, Oct 6",,,,,,,,,,,,gap_q,gap tshirts,4.677777777777778,128.59259259259258,0.0,0,0,0,0,0,0,0,0,0,0
57,Gap Factory Women's Favorite Crewneck T-Shirt White Petite Size Xs,https://www.gapfactory.com/browse/product.do?pid=158081141&vid=3&tid=gfns000002,https://www.google.com/shopping/product/17339026938845236600?gl=us,17339026938845236600,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17339026938845236600,Gap Factory,,8.0,4.5,40.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQcj9nmqHHgvqfelg9w3qPryMngldO0zwpKqeTLTyCTuow7zGp51kdr1DrF8lJ6E7CadXNWN4KsHgxnrnqGNwXdLCqzMgCq-ryxSMSFo_Hvl80QZgrdRCv5JA&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$1.99 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap tshirts,4.5,40.0,0.0,1,0,1,1,1,0,0,0,0,0
58,Gap Fit Tee,https://www.kidizen.com/items/5792900,https://www.google.com/shopping/product/10963217106258135268?gl=us,10963217106258135268,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10963217106258135268,Kidizen,,8.0,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTaN8LOm1VKAY3XudJjEMuKAAP33OQvSgBhb4TSwM6AwXo30uqAtH15a-7_BuPDWvk1wUWWB25_1zpAwPpZ0yGSPm_AQt-142SfNxdxvjA&usqp=CAE,$3.75 delivery,,,,,,,,,,,used,gap_q,gap tshirts,4.677777777777778,128.59259259259258,0.0,0,0,0,0,0,0,0,0,0,0
59,Gap Factory Women's Foreversoft Crewneck T-Shirt Blue Floral Size Xs,https://www.gapfactory.com/browse/product.do?pid=597935011&vid=1&tid=gfns000002,https://www.google.com/shopping/product/17335567378820163880?gl=us,17335567378820163880,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17335567378820163880,Gap Factory,,20.99,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRKGif6xWORytZYOEceAqOTWc8ETaMexJA0zD2xF1CZAL88brmjxHyruPEDV_LhZo6KdgbncDpl4ii8tFVa_SMGGgSgIEtRsQKk8Svn_OHy&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",['SALE'],Top Quality Store,SALE,4.6,,,,,,29.99,,gap_q,gap tshirts,4.677777777777778,128.59259259259258,-9.0,0,1,1,1,1,0,0,0,0,0
60,Gap Women's T-Shirt - Black - L,https://www.depop.com/products/shirtkingz-gap-womens-black-cotton-round/?srsltid=AfmBOoo2D8XzD6qx0JMgZSckMvGk6vdgUgpm4LG5bgw3nhGT8aNCtQmvezc,https://www.google.com/shopping/product/9192763634178862326?gl=us,9192763634178862326,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=9192763634178862326,Depop,,34.0,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR8-2JuHW3zPmYQ8yqzo5Djq2RArc5iwmnIYs7w6fj6D7gFHPtBpP11ZH6-NFyNuKvpGRFg19psd9gftaDKgFNXVt6Df43B5gH9WxDvCV1nr1piHc-MTb1DZA&usqp=CAE,$7.99 delivery,,,,,,,,,,,used,gap_q,gap tshirts,4.677777777777778,128.59259259259258,0.0,0,0,0,0,0,0,0,0,0,0
1,Gap Men's Stretch Pique Polo Shirt,https://www.amazon.com/GAP-Mens-Stretch-Pique-Bainbridge/dp/B0B6CYN9CN?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/8259327276021065669?gl=us,8259327276021065669,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=8259327276021065669,Amazon.com,,14.16,4.7,520.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSBtQUO1Sxj29BPneADnCS_8G4aJEFDjFOmZj2HF6ua1GWlD6UeBjhDQWknIfjiPrtYTirGdULrBLr2pekcnPGuW8OaXuRNHzvhxFOl1wI&usqp=CAE,$5.99 delivery,"['$1.57 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.5,2500.0,,,,,,,gap_q,gap polo,4.7,520.0,0.0,1,0,1,0,0,0,0,1,0,0
2,Gap Factory Men's Stretch Pique Polo Shirt Shirt True Black Size Xs,https://www.gapfactory.com/browse/product.do?pid=547250031&vid=1&tid=gfns000002,https://www.google.com/shopping/product/9478100315951114419?gl=us,9478100315951114419,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=9478100315951114419,Gap Factory,,14.0,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTNb48MvbhNXtU0pBDVmcxGVz8delMwlPHzfnxIGs4MY6sOYLx3mFP9zRBs0qNgmGp6lc4pAhWhlKgKGLayt6x7IzfRLb8V_eXbUBjHaJLsDd3juqcVHWPzfg&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$6.99 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,1,0,1,1,1,0,0,0,0,0
3,Men's 100% Organic Cotton Polo Shirt Shirt by Gap Classic Navy Size Xs,https://www.gap.com/browse/product.do?pid=586307022&vid=1&tid=gpns000044,https://www.google.com/shopping/product/7273613685431787526?gl=us,7273613685431787526,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=7273613685431787526,Gap,,14.99,4.8,19.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQuI70M6jg27qzuE-bY-QL2zj0PEWBtsfqKebwea8md78CzxZ5DpbIdOSSLhGwZMFBnhStK0tpJ9XYiHk36OlfWD7RP4hlbI-othS3VXpA&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",['SALE'],Top Quality Store,SALE,4.6,,,,,,34.95,,gap_q,gap polo,4.8,19.0,-19.96,0,1,1,1,0,0,0,0,0,0
4,Gap Men's 2-Pack Logo Polo,https://www.amazon.com/GAP-Mens-Logo-Polo-Multi/dp/B0B6D6VSSS?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/5553351201927841525?gl=us,5553351201927841525,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=5553351201927841525,Amazon.com,,49.99,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR5W06U_9wqYTTL5GWzLK_eESKmdqecYj3fAXaVElEmBG833R55JpVkCH4rQ8uSB-1FUCw5wxM-l-KLYUV6qjs4lR4l59-nO1FEuW3mdMaBMWg8io8ugGl2&usqp=CAE,Free delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,0,0,1,0,0,0,0,1,0,0
5,Men's 100% Organic Cotton Polo Shirt Shirt by Gap Heather Grey Size Xs,https://www.gap.com/browse/product.do?pid=586307012&vid=1&tid=gpns000044,https://www.google.com/shopping/product/1157926681990788112?gl=us,1157926681990788112,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=1157926681990788112,Gap,,25.99,4.8,19.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRZhLLzRMgZ02qmH0rjprZHhb6HDlcSY0voBvk-vrwQ7P2o6e81BKxgSMW7Rf922mQuqcxi0HjPHTm5qIwH4KOuLI9Cyhvc0iRNMHCfeMv3GR0w4sjP9l6k&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",['SALE'],Top Quality Store,SALE,4.6,,,,,,34.95,,gap_q,gap polo,4.8,19.0,-8.960000000000004,0,1,1,1,0,0,0,0,0,0
6,Gap Factory Men's Stretch Pique Polo Shirt Shirt Modern Red Size Xs,https://www.gapfactory.com/browse/product.do?pid=547250421&vid=1&tid=gfns000002,https://www.google.com/shopping/product/11585667986425898149?gl=us,11585667986425898149,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11585667986425898149,Gap Factory,,14.0,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRIQKjuoQJeJcFNQ3rCGHVcDUh-KTSyzbaRcpI0Us-Vjxon2Sxqn1B1qSTb4snD53ERmV_fg1zV_SwpJMcRTLTYiyQ8mOA-0YgJ1fKu7uMC&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$6.99 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,1,0,1,1,1,0,0,0,0,0
7,Men's Refined Pique Polo Shirt Shirt by Gap New Classic Navy Size S,https://www.gap.com/browse/product.do?pid=804370002&vid=1&tid=gpns000044,https://www.google.com/shopping/product/10301986757463326442?gl=us,10301986757463326442,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10301986757463326442,Gap,,25.99,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRRPKg9z8UcJ45Zw-l_zHEVCv5ALYHhxHyfnKROmWtJ7VwjX3nIKVCFhqmaXlEFH8r7Xz5wfkDZsNHrgqGpUt2hAddUCNhEV7u40USZKBu8h3SO2jQquC_meQ&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$4.00 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,1,0,1,1,0,0,0,0,0,0
8,Gap Factory Men's Lived-In Johnny Collar Polo Shirt Shirt Dry Rose Size S,https://www.gapfactory.com/browse/product.do?pid=599095051&vid=1&tid=gfns000002,https://www.google.com/shopping/product/2063730643409769811?gl=us,2063730643409769811,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2063730643409769811,Gap Factory,,23.99,4.7,44.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSb8oUkTXO31XQQDIkVind6Tt3v3NkInyAd91e2ru2HvVBk-HdS-Of8T7DvOkvIMGUCRIxpkC-2wAXDbIsHA-jukn0dbksrfxmFt7MwCtjW4pwPcfQw1miEhQ&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",['SALE'],Top Quality Store,SALE,4.6,,,,,,34.99,,gap_q,gap polo,4.7,44.0,-11.000000000000004,0,1,1,1,1,0,0,0,0,0
9,Gap Men's Logo Pique Polo,https://www.amazon.com/GAP-Mens-Pique-Jamaica-Green/dp/B0B6CX961H?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/13807067949249474899?gl=us,13807067949249474899,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=13807067949249474899,Amazon.com,,16.8,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTKmXRa0kp6puS6lcAljiwu8M4AV8-PsOzZp3ByxbQNL2lK7_hLETEmxNtGuHVSkEdr_qx3JHTxeet8bfTYeKe01I9c-QSWv6gti1km59cB&usqp=CAE,$5.99 delivery,"['$4.86 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.5,2500.0,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,1,0,1,0,0,0,0,1,0,0
10,Gap Factory Men's Stretch Pique Polo Shirt Shirt Purple Basil Size L,https://www.gapfactory.com/browse/product.do?pid=547250371&vid=1&tid=gfns000002,https://www.google.com/shopping/product/17594409586416233110?gl=us,17594409586416233110,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17594409586416233110,Gap Factory,,14.0,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT3RX27EkNUjyoaDZJFIkemrXqG5rE1wqypTKPY0P_9n_EapjaWNc6I4yqQTayts41N0rrxItWEEEOqmz95R-HlYQmrnKcqVPdnedfL6OlJTW3N15YP6Gtx&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$3.49 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,1,0,1,1,1,0,0,0,0,0
11,Gap Factory Men's Colorblock Stretch Pique Polo Shirt Shirt Deep Depths Green Size S,https://www.gapfactory.com/browse/product.do?pid=744374021&vid=1&tid=gfns000002,https://www.google.com/shopping/product/7366349233936249600?gl=us,7366349233936249600,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=7366349233936249600,Gap Factory,,16.0,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTCKpwUFPpk1gn6s5yyvvMmhSnbDdsWudtZ2dI0rGxi1dtsc-5B2AqDjmPPgyEdFe9r1WUgpGSnp87lU__sESx9dr1TT_n3v8M3tzBP8A-z&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$3.99 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,1,0,1,1,1,0,0,0,0,0
12,Gap Men's Stretch Pique Polo,https://www.amazon.com/GAP-Mens-Stretch-Pique-Polo/dp/B0B6D4VGMT?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/11703387008356707958?gl=us,11703387008356707958,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11703387008356707958,Amazon.com,,27.09,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRS_546iCdEr5a58gM0YRpPgKeCI0nH-rTC_AeXSe2tpR67rE0LRBRs4QfaB9q-kL6B5IdM7Kd6M04b2TT83-xAUoUsyfa536dOoSYuNherqgACbeKdnU7K&usqp=CAE,$7.19 delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,0,0,1,0,0,0,0,1,0,0
13,Gap Factory Men's Stretch Pique Polo Shirt Shirt Blue Crystal Size Xs,https://www.gapfactory.com/browse/product.do?pid=547250451&vid=1&tid=gfns000002,https://www.google.com/shopping/product/6034807043083327830?gl=us,6034807043083327830,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=6034807043083327830,Gap Factory,,14.0,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRgCSriY2GZ83w-3xUmFJT7Dy3QLPfqUMrhyutwwVPKWZvbxBy5nzus7cQU8EI8zyP9qSQ6X9rrWVZa_XdeNts-VQUM21EOy8SVme8ogx0&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$6.99 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,1,0,1,1,1,0,0,0,0,0
14,Gap Mens Golf Polo Tapestry Blue Collared Short Sleeve Cotton Shirt,https://www.ebay.com/itm/276001534109?chn=ps&mkevt=1&mkcid=28&srsltid=AfmBOorvPPcXwfGs6T_d9Nu3fSAXqtEWRbsBD3h6RWub4gHmEVNOmJdeB-Y&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/1?gl=us&prds=pid:7635631738562445838,7635631738562445838,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=7635631738562445838,eBay - samsadventures,,19.71,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSm8wUi1qxa6a6FQepaZNOFLo3LHoJsyIM-zrRHs3iZ7Ba-ft1cUrFtFx2WaaPYVfY3imZljbPk3beUjmkwcile61ImMmtJp_-bfC43VJk&usqp=CAE,"Delivery by Tue, Oct 10",,,,,,,,,,,,gap_q,gap polo,4.7,81.53846153846153,0.0,0,0,0,0,0,0,0,0,1,0
15,Gap Shirts | Classic Fit Gap Button Up Polo | Color: Black | Size: Various ...,https://poshmark.com/listing/Classic-fit-Gap-button-Up-polo-6086df2f4fd23ac53f9327c4?com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e#utm_source=gdm_unpaid,https://www.google.com/shopping/product/16864938303882529494?gl=us,16864938303882529494,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=16864938303882529494,Poshmark,,24.0,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRgLysOC0fIj3eJd_nItQhYICKSeqb6O9XMh3snGeIFtaJqKMz7Pp9lbMbMZKraMCaK-UgrSzRekQyr8D9nqeDmT7_liHW-pUYlSKn9Z0c&usqp=CAE,"Delivery by Fri, Oct 13",,,,,,,,,,,used,gap_q,gap polo,4.7,81.53846153846153,0.0,0,0,0,0,0,0,0,0,0,0
